id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
327,Pashchim Champaran,Chanpatiya,MAJHAULIA,DHOKRA,3,DUDHA,NONIYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545615)
328,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,1,GHOGHA,BARKA GOWH,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981116)
329,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,2,GHOGHA,BARKA GOWH,Deep tubewell,Ground Water,KOIRI TOLLA,HandPump,CHANPATIA SCHEME(0006575148)
330,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,3,GHOGHA,GHOGHA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004767917)
331,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,4,GHOGHA,GHOGHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544602)
332,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,5,GHOGHA,KABILA SHAWARE,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981120)
333,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,6,GHOGHA,KABILA SHAWARE,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004669580)
334,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,7,GHOGHA,PASS AUHI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981131)
335,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,8,GHOGHA,PATBANDHI TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981137)
336,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,9,GHOGHA,SAHARA GAWH,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981144)
337,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,10,GHOGHA,SHIVAGHAT MALSI TOLA,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981148)
338,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,11,GHOGHA,SHIVAGHAT MALSI TOLA,Deep tubewell,Ground Water,NEAREST MARKET,HandPump,CHANPATIA SCHEME(0006573624)
339,Pashchim Champaran,Chanpatiya,CHANPATIA,UHARI GHOGHA,12,GHOGHA,SHYAM TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001981152)
340,Pashchim Champaran,Chanpatiya,CHANPATIA,SINSIYA,1,BISWAS,BISWASH,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980890)
341,Pashchim Champaran,Chanpatiya,CHANPATIA,SINSIYA,2,JINWALIA,JINWALIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742806)
342,Pashchim Champaran,Chanpatiya,CHANPATIA,SINSIYA,3,JINWALIA,JINWALIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544585)
343,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,1,EKHARIA,EKHARIA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742799)
344,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,2,EKHARIA,EKHARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544586)
345,Pashchim Champaran,Chanpatiya,CHANPATIA,SIRISIYA,3,MUSAHRI,BHAGARWA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742855)
