id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
86,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,4,RAMNAGAR BANKAT,MUSHHAR TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006553477)
87,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,5,RAMNAGAR BANKAT,MUSHHAR TOLI,Deep tubewell,Ground Water,CHAMAR TOLI,HandPump,MAJHAULIYA SCHEME(0006553477)
88,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,6,RAMNAGAR BANKAT,MUSHHAR TOLI,Deep tubewell,Ground Water,Near Mushar Basti,HandPump,Majhauliya Scheme(0007065609)
89,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,7,RAMNAGAR BANKAT,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545723)
90,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,8,RAMNAGAR BANKAT,NANHO SATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545724)
91,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,9,RAMNAGAR BANKAT,RAMNAGAR BANKAT,Shallow tubewell,Ground Water,Koiri Tola Yogendra Mahto,HandPump,Majhauliya MMCY Scheme(0006500632)
92,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,10,RAMNAGAR BANKAT,RAMNAGAR BANKAT,Shallow tubewell,Ground Water,Shekh Toli,HandPump,Majhauliya Scheme(0001958207)
93,Pashchim Champaran,Bettiah,MAJHAULIA,RAMNAGAR BANKAT,11,RAMNAGAR BANKAT,SEKH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545725)
94,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,1,BAHUARWA,BABU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545562)
95,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,2,BAHUARWA,BAHASI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
96,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,3,BAHUARWA,BAHASI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545563)
97,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,4,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006550006)
98,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,5,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,NEAR TEMPLE,HandPump,MAJHAULIYA SCHEME(0006550006)
99,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,6,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545564)
100,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,7,BAHUARWA,CHAIN PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545565)
101,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,8,BAHUARWA,CHMAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545566)
102,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,9,BAHUARWA,DUSADH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545567)
103,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,10,BAHUARWA,GHUSUK PUR,Deep tubewell,Ground Water,Near Pokhara,HandPump,Majhauliya Scheme(0007065609)
104,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,11,BAHUARWA,GHUSUK PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545568)
105,Pashchim Champaran,Bettiah,MAJHAULIA,BAHURWA,12,BAHUARWA,TATWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545569)
106,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,1,KARAMWA,DHANGAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545643)
107,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,2,KARAMWA,GORA PUR,Deep tubewell,Ground Water,Near Gora Pul,HandPump,Majhauliya Scheme(0007065609)
108,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,3,KARAMWA,GORA PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545644)
109,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,4,KARAMWA,HARIJAN TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
110,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,5,KARAMWA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545645)
111,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,6,KARAMWA,KARMAWA,Shallow tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001958119)
112,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,7,KARAMWA,KARMAWA,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004100948)
113,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,8,KARAMWA,MAHADEO ROUT KA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545646)
114,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,9,KARMWA,DEWAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545647)
115,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,10,KARMWA,KARMWA TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004706505)
116,Pashchim Champaran,Bettiah,MAJHAULIA,KARMWA,11,KARMWA,KARMWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545648)
117,Pashchim Champaran,Bettiah,BETTIAH,GONAULI,1,DODUSAHIA PADRI,DODUSA PADRI,Deep tubewell,Ground Water,Near Church Road,HandPump,Bettiah Scheme(0007038427)
118,Pashchim Champaran,Bettiah,BETTIAH,GONAULI,2,DODUSAHIA PADRI,DODUSA PADRI,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
119,Pashchim Champaran,Bettiah,BETTIAH,GONAULI,3,DODUSAHIA PADRI,GISHAN PATTI,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
120,Pashchim Champaran,Bettiah,BETTIAH,GONAULI,4,GONDAULI,DHARMPUR,Deep tubewell,Ground Water,Near Primary School,HandPump,Bettiah Scheme(0007038427)
